address,lat,lng
" Via C� Salgari, 2, 37031 Illasi VR, Italy"",""Dal Forno Romano",45.5053,10.9662
" 33250 Pauillac, France "",""Baron Philippe de Rothschild",45.1826,-0.7505
" 8700 Conn Creek Rd, Rutherford, CA 94573, United States "",""Bond",38.5539,-122.4637
" 33330 Saint-�milion, France "",""Ch�teau Ausone",44.8912,-0.1565
" 2598 Whitehall Ln, Saint Helena, CA 94574, United States "",""Bevan Cellars",38.4986,-122.4666
" Ctra. San Vicente, s/n, 26320 San Vicente de la Sonsierra, La Rioja, Spain "",""Bodega Contador (Benjam�n Romeo)",42.5617,-2.7686
" 1560 Silverado Trail, St Helena, CA 94574, United States "",""Cirq",38.5176,-122.4924
" 7481 St Helena Hwy, Oakville, CA 94562, United States "",""Memento Mori",38.4188,-122.4397
" 4550 Silverado Trail, Calistoga, CA 94515, United States "",""Maybach Family Vineyards",38.4796,-122.4571
" 500 Oakville Cross Rd, Napa, CA 94558, United States"",""Rudd",38.4927,-122.4279
" Rua da Galeira, 25, 5050-041 Celeirós, Portugal"",""Vale D. Maria",41.1739,-7.7451
" 20, Rue de la Grand Cour, 21700 Meursault, France"",""Domaine Comte Georges de Vog��",47.0118,4.7829
" Strada Provinciale del vino, 31, 12050 Barolo CN, Italy"",""Ferrag�",44.6284,7.9808
" 84190 Châteauneuf-du-Pape, France"",""Ch�teau Rayas",44.0547,4.8715
" 270 Kreuzer Ln, Napa, CA 94559, USA"",""Moone-Tsai",38.3075,-122.2889
" 360 Howell Mountain Rd S, Angwin, CA 94508, USA"",""Cade",38.5706,-122.4638
" 2926 Orchard Ave, Napa, CA 94558, USA"",""Favia",38.3402,-122.3084
" 8700 Conn Creek Rd, Rutherford, CA 94573, USA "",""David Arthur",38.5367,-122.4215
" 3478 Barossa Valley Way, Marananga SA 5355, Australia "",""Torbreck",-34.5555,138.9562
" 1500 Whitehall Ln, Saint Helena, CA 94574, USA "",""The Crane Assembly",38.2988,-122.2869
" 1560 Silverado Trail, Saint Helena, CA 94574, USA "",""Futo",38.4754,-122.4861
" 1082 Dowdell Ln, Napa, CA 94558, USA "",""Burly",38.5329,-122.4762
" Via Monte Faustino, 12, 37022 Fumane VR, Italy "",""Monte Faustino",45.5454,10.9042
" Ctra. de Peñafiel, km 1,5, 47300 Ribera del Duero, Valladolid, Spain "",""Pago de Carraovejas",41.6783,-3.7056
" Ctra. Falset a Gratallops, s/n, 43737 Gratallops, Tarragona, Spain "",""Álvaro Palacios",41.1302,0.8881
" 7600 St Helena Hwy, Oakville, CA 94562, USA "",""Pulido-Walker",38.4829,-122.4686
" Località Bussia, 39, 12065 Monforte d'Alba CN, Italy"",""Parusso",44.6326,7.9688
